Date,Close/Last,Volume,Open,High,Low
04/22/2024,$176.46,7288701,$174.41,$177.20,$174.03
04/19/2024,$174.13,6636697,$172.28,$174.27,$171.80
04/18/2024,$172.27,5574662,$170.10,$172.68,$170.10
04/17/2024,$169.48,4069200,$169.09,$169.70,$168.21
04/16/2024,$167.50,4569689,$167.03,$168.51,$166.89
04/15/2024,$166.95,5133181,$169.21,$169.35,$166.03
04/12/2024,$168.10,5453736,$167.69,$168.51,$167.32
04/11/2024,$168.36,4241563,$169.62,$169.87,$167.77
04/10/2024,$168.95,4581676,$169.57,$169.63,$167.77
04/09/2024,$170.61,3774304,$170.225,$170.72,$168.73
04/08/2024,$169.58,3755725,$169.15,$170.05,$168.74
04/05/2024,$169.14,4412390,$169.40,$169.97,$168.065
04/04/2024,$169.65,5422567,$170.92,$171.78,$169.33
04/03/2024,$169.68,5828024,$170.00,$170.92,$168.70
04/02/2024,$171.44,5158492,$172.94,$173.87,$171.36
04/01/2024,$172.98,4815366,$175.57,$176.23,$172.65
03/28/2024,$175.01,5710539,$174.76,$175.81,$174.37
03/27/2024,$173.57,4911274,$173.998,$174.69,$173.05
03/26/2024,$172.73,4593166,$172.17,$172.97,$171.815
03/25/2024,$172.60,3941985,$172.20,$173.09,$172.108
03/22/2024,$172.02,4106531,$173.02,$173.10,$171.76
03/21/2024,$172.45,4343007,$171.92,$173.42,$171.05
03/20/2024,$171.86,5046920,$172.30,$173.10,$171.12
03/19/2024,$171.80,7653926,$171.10,$172.65,$171.00
03/18/2024,$171.26,10478530,$167.05,$172.18,$166.95
03/15/2024,$164.66,21887270,$165.06,$165.38,$163.64
03/14/2024,$164.78,5155326,$166.26,$166.26,$164.20
03/13/2024,$165.30,4585789,$165.10,$166.14,$164.74
03/12/2024,$164.54,6158507,$165.14,$165.42,$163.96
03/11/2024,$164.73,5404790,$163.92,$165.42,$163.31
03/08/2024,$163.05,6065294,$162.32,$164.20,$162.09
03/07/2024,$163.11,5801610,$163.82,$163.90,$162.50
03/06/2024,$163.00,5302463,$162.06,$163.99,$162.04
03/05/2024,$162.04,6631346,$165.22,$165.50,$161.81
03/04/2024,$165.37,4303882,$164.45,$165.65,$163.60
